borough,neighbourhood,total_listings_neighbourhood,total_listings_borough,neighbourhood_share
brooklyn,williamsburg,3918,20088,19.5042
brooklyn,bedford-stuyvesant,3709,20088,18.4638
queens,astoria,899,5662,15.8778
"staten island","st. george",48,373,12.8686
manhattan,harlem,2657,21652,12.2714
brooklyn,bushwick,2460,20088,12.2461
"staten island",tompkinsville,42,373,11.2601
queens,"long island city",537,5662,9.4843
manhattan,"upper west side",1969,21652,9.0938
manhattan,"hell's kitchen",1957,21652,9.0384
manhattan,"east village",1852,21652,8.5535
manhattan,"upper east side",1797,21652,8.2995
brooklyn,"crown heights",1564,20088,7.7857
queens,flushing,426,5662,7.5238
queens,ridgewood,423,5662,7.4709
"staten island",stapleton,27,373,7.2386
manhattan,midtown,1545,21652,7.1356
"staten island",concord,26,373,6.9705
bronx,kingsbridge,70,1089,6.4279
queens,sunnyside,363,5662,6.4112
bronx,fordham,63,1089,5.7851
bronx,longwood,62,1089,5.6933
"staten island",arrochar,21,373,5.6300
brooklyn,greenpoint,1112,20088,5.5356
bronx,"mott haven",60,1089,5.5096
queens,"ditmars steinway",309,5662,5.4574
manhattan,"east harlem",1117,21652,5.1589
manhattan,chelsea,1113,21652,5.1404
"staten island","randall manor",19,373,5.0938
"staten island","west brighton",18,373,4.8257
bronx,wakefield,50,1089,4.5914
bronx,concourse,50,1089,4.5914
bronx,"port morris",46,1089,4.2241
manhattan,"lower east side",911,21652,4.2075
queens,elmhurst,237,5662,4.1858
manhattan,"washington heights",899,21652,4.1520
queens,woodside,235,5662,4.1505
queens,jamaica,229,5662,4.0445
"staten island",clifton,15,373,4.0214
bronx,allerton,42,1089,3.8567
bronx,williamsbridge,40,1089,3.6731
bronx,parkchester,39,1089,3.5813
manhattan,"west village",768,21652,3.5470
manhattan,"financial district",744,21652,3.4362
queens,"jackson heights",186,5662,3.2851
queens,"east elmhurst",185,5662,3.2674
brooklyn,flatbush,621,20088,3.0914
bronx,"concourse village",32,1089,2.9385
brooklyn,"clinton hill",572,20088,2.8475
bronx,norwood,31,1089,2.8466
"staten island","great kills",10,373,2.6810
brooklyn,"prospect-lefferts gardens",535,20088,2.6633
bronx,"claremont village",28,1089,2.5712
bronx,"pelham gardens",28,1089,2.5712
queens,"forest hills",144,5662,2.5433
brooklyn,"park slope",506,20088,2.5189
brooklyn,"east flatbush",500,20088,2.4890
brooklyn,"fort greene",489,20088,2.4343
"staten island","port richmond",9,373,2.4129
bronx,highbridge,26,1089,2.3875
manhattan,"murray hill",484,21652,2.2354
bronx,"throgs neck",24,1089,2.2039
bronx,belmont,24,1089,2.2039
manhattan,"kips bay",469,21652,2.1661
"staten island","mariners harbor",8,373,2.1448
"staten island","new springville",8,373,2.1448
"staten island","south beach",8,373,2.1448
queens,maspeth,110,5662,1.9428
brooklyn,"sunset park",389,20088,1.9365
bronx,"clason point",21,1089,1.9284
bronx,"university heights",21,1089,1.9284
"staten island","dongan hills",7,373,1.8767
"staten island","grymes hill",7,373,1.8767
"staten island","shore acres",7,373,1.8767
"staten island",tottenville,7,373,1.8767
"staten island",rosebank,7,373,1.8767
queens,"rego park",106,5662,1.8721
bronx,"mount hope",20,1089,1.8365
manhattan,"greenwich village",392,21652,1.8105
brooklyn,"prospect heights",357,20088,1.7772
bronx,bronxdale,19,1089,1.7447
manhattan,chinatown,368,21652,1.6996
queens,"richmond hill",94,5662,1.6602
bronx,"city island",18,1089,1.6529
bronx,"hunts point",18,1089,1.6529
bronx,morrisania,18,1089,1.6529
manhattan,soho,357,21652,1.6488
"staten island","grant city",6,373,1.6086
"staten island","midland beach",6,373,1.6086
"staten island","bull's head",6,373,1.6086
manhattan,"morningside heights",346,21652,1.5980
bronx,"pelham bay",17,1089,1.5611
bronx,"morris heights",17,1089,1.5611
