neighbourhood,borough,avg_daily_price,avg_occupied_nights,avg_annual_revenue,total_listings,market_share_percent
"prince's bay","staten island",484.3333333333333,217.6667,151443.66666666666,3,0.94
tribeca,manhattan,480.1929824561403,190.9912,87696.0701754386,114,0.88
riverdale,bronx,567.25,143.8750,85120.25,8,0.93
noho,manhattan,331.49056603773585,215.1509,75008.41509433962,53,0.41
"sea gate",brooklyn,569.6666666666666,212.0000,71101.33333333333,3,0.03
"cobble hill",brooklyn,242.1551724137931,257.1034,64142.15517241379,58,0.49
"civic center",manhattan,240.07692307692307,242.5000,60363.346153846156,26,0.20
soho,manhattan,313.3733905579399,212.6695,58898.00429184549,233,1.79
"greenwich village",manhattan,282.9246231155779,218.0452,56835.522613065325,199,1.53
"breezy point",queens,213.33333333333334,264.6667,56798.333333333336,3,0.07
"west village",manhattan,297.35980148883374,215.7246,55973.68238213399,403,3.10
"flatiron district",manhattan,377.9782608695652,174.8043,55053.413043478264,46,0.35
"brooklyn heights",brooklyn,239.79268292682926,245.4268,53401.12195121951,82,0.70
nolita,manhattan,239.859375,235.5703,52299.7109375,128,0.99
"downtown brooklyn",brooklyn,162.02941176470588,311.5588,50262.64705882353,34,0.29
"prospect heights",brooklyn,209.1711229946524,220.9198,49863.433155080216,187,1.59
"city island",bronx,178.23529411764707,226.0588,45681.94117647059,17,1.98
"columbia st",brooklyn,186.30769230769232,253.3846,45309.61538461538,26,0.22
"boerum hill",brooklyn,192.8736842105263,236.4000,45297.3052631579,95,0.81
chelsea,manhattan,262.4882005899705,192.9395,44436.35545722714,678,5.22
"navy yard",brooklyn,145.4,301.0000,43577.2,5,0.04
"park slope",brooklyn,199.53684210526316,212.4877,43203.768421052635,285,2.42
gramercy,manhattan,230.21693121693121,209.4709,42104.264550264554,189,1.46
"east village",manhattan,200.65918803418805,225.2126,41656.28311965812,936,7.21
"upper west side",manhattan,223.18225190839695,197.3635,41193.03625954199,1048,8.07
"vinegar hill",brooklyn,179.45,248.0500,40869.05,20,0.17
midtown,manhattan,286.56729810568294,152.6451,40522.05383848455,1003,7.72
"lower east side",manhattan,192.95969289827255,201.4050,39886.612284069095,521,4.01
"carroll gardens",brooklyn,187.325,231.9250,39106.416666666664,120,1.02
"hell's kitchen",manhattan,209.91365313653137,188.8768,38075.30553505535,1355,10.44
"spuyten duyvil",bronx,180,126.6667,37940,3,0.35
eltingville,"staten island",141.66666666666666,172.0000,37112.333333333336,3,0.94
"upper east side",manhattan,205.5799432355724,186.2479,36529.1371807001,1057,8.14
dumbo,brooklyn,215.22222222222223,176.6111,36244.88888888889,18,0.15
chinatown,manhattan,167.8590909090909,223.0773,35512.354545454546,220,1.69
"south slope",brooklyn,147.53012048192772,226.0964,34741.02409638554,166,1.41
"fort greene",brooklyn,158.89084507042253,213.6338,34694.33450704225,284,2.41
williamsburg,brooklyn,157.51543824701196,226.8391,33841.71862549801,2008,17.02
"roosevelt island",manhattan,147.4857142857143,205.3143,33762.828571428574,35,0.27
"windsor terrace",brooklyn,142.3978494623656,226.7634,33634.12903225807,93,0.79
"bay ridge",brooklyn,170.63809523809525,176.5429,33376.304761904765,105,0.89
greenpoint,brooklyn,154.49288256227757,222.4573,33315.902135231314,562,4.76
"murray hill",manhattan,234.7030303030303,150.0879,33205.530303030304,330,2.54
"little italy",manhattan,170.7125,213.2375,33044.0125,80,0.62
"kips bay",manhattan,210.48863636363637,166.2879,32768.768939393936,264,2.03
"clinton hill",brooklyn,159.91721854304635,209.2119,32727.082781456953,302,2.56
"battery park city",manhattan,413.75757575757575,163.2424,32529.151515151516,33,0.25
"red hook",brooklyn,146.62264150943398,221.6038,32444.849056603773,53,0.45
"stuyvesant town",manhattan,134.05882352941177,244.7647,31689.470588235294,17,0.13
"theater district",manhattan,243.48497854077254,124.8755,29920.145922746782,233,1.79
"brighton beach",brooklyn,140.18032786885246,172.8689,29680.55737704918,61,0.52
gowanus,brooklyn,164.9788732394366,177.2465,29680.288732394365,142,1.20
neponsit,queens,274.6666666666667,134.0000,29583.333333333332,3,0.07
"morningside heights",manhattan,120.62096774193549,256.6371,29357.798387096773,124,0.96
"financial district",manhattan,240.98171846435102,121.1645,29211.367458866545,547,4.21
"two bridges",manhattan,126.57446808510639,232.8936,29098.55319148936,47,0.36
"belle harbor",queens,171.5,178.3750,28427.625,8,0.20
"jamaica hills",queens,157,178.1667,28229.833333333332,6,0.15
"east harlem",manhattan,132.93557422969187,221.4104,28207.3487394958,714,5.50
"shore acres","staten island",120.8,204.6000,28070.8,5,1.57
"grymes hill","staten island",152.33333333333334,199.8333,27966.666666666668,6,1.88
"rockaway beach",queens,136.75,183.1042,26706.25,48,1.17
"prospect-lefferts gardens",brooklyn,120.77070063694268,215.7357,26403.054140127388,314,2.66
harlem,manhattan,127.7860576923077,210.1124,25918.2109375,1664,12.82
kensington,brooklyn,96.9578947368421,237.2526,24451.178947368422,95,0.81
"jamaica estates",queens,151.44444444444446,184.1667,24346.833333333332,18,0.44
"crown heights",brooklyn,128.62471655328798,207.1474,24280.969387755104,882,7.48
"westchester square",bronx,130,187.5556,23531.444444444445,9,1.05
"long island city",queens,131.12536443148687,194.7551,23514.163265306124,343,8.38
holliswood,queens,147.66666666666666,139.0000,23278.333333333332,3,0.07
melrose,bronx,97.57142857142857,231.2857,23153,7,0.82
rossville,"staten island",75,306.0000,22950,1,0.31
"little neck",queens,75.2,283.8000,22898.4,5,0.12
"far rockaway",queens,104.30434782608695,187.6087,22896,23,0.56
arverne,queens,175.0958904109589,166.2466,22451.54794520548,73,1.78
"great kills","staten island",100.6,216.4000,22215.5,10,3.13
"bergen beach",brooklyn,106.7,226.8000,22177,10,0.08
"todt hill","staten island",82.33333333333333,246.3333,22026.333333333332,3,0.94
bedford-stuyvesant,brooklyn,114.53115851108323,197.3848,21511.33584274362,2391,20.27
"sunset park",brooklyn,109.41452991452991,209.1197,21456.98717948718,234,1.98
"throgs neck",bronx,94.44444444444444,232.0000,20857.166666666668,18,2.10
"kew gardens hills",queens,124.26315789473684,194.4737,20695.473684210527,19,0.46
huguenot,"staten island",118.33333333333333,157.0000,20673.333333333332,3,0.94
astoria,queens,106.396261682243,190.1832,20476.551401869157,535,13.08
hollis,queens,85.08333333333333,225.3333,19890.5,12,0.29
"forest hills",queens,132.6734693877551,181.0306,19809.448979591838,98,2.40
midwood,brooklyn,87.04615384615384,223.4308,19647.53846153846,65,0.55
"morris park",bronx,72.81818181818181,259.5455,19562.454545454544,11,1.28
"ditmars steinway",queens,96.45320197044335,198.3695,19386.093596059112,203,4.96
flatbush,brooklyn,92.70308123249299,210.8683,19352.268907563026,357,3.03
"east flatbush",brooklyn,109.41025641025641,173.2641,19343.266666666666,390,3.31
"new brighton","staten island",101.8,222.4000,19072.2,5,1.57
"south beach","staten island",99.14285714285714,156.0000,18921.571428571428,7,2.19
flatlands,brooklyn,104.47619047619048,168.8730,18800.88888888889,63,0.53
"washington heights",manhattan,94.90243902439025,208.4053,18445.373358348967,533,4.11
"university heights",bronx,76.08333333333333,219.5000,18440.416666666668,12,1.40
glendale,queens,91.075,184.4250,18411.95,40,0.98
bushwick,brooklyn,91.20258620689656,210.5560,18407.6566091954,1392,11.80
brownsville,brooklyn,82.02173913043478,219.9783,18388.91304347826,46,0.39
inwood,manhattan,89.42567567567568,216.9324,17871.18918918919,148,1.14
"rego park",queens,89.32098765432099,208.2346,17790.493827160495,81,1.98
"new springville","staten island",66.66666666666667,278.0000,17772.666666666668,6,1.88
gravesend,brooklyn,88.27272727272727,180.3864,17600.795454545456,44,0.37
"arden heights","staten island",76,239.3333,17564,3,0.94
laurelton,queens,100.875,157.3125,17444.875,16,0.39
"port morris",bronx,75.27777777777777,221.2500,17418.583333333332,36,4.20
"lighthouse hill","staten island",157.5,149.5000,17405,2,0.63
"east morrisania",bronx,94.44444444444444,164.1111,17326.666666666668,9,1.05
"coney island",brooklyn,137.71428571428572,166.7857,17322.14285714286,14,0.12
"fort hamilton",brooklyn,92.44736842105263,184.8684,17241.28947368421,38,0.32
whitestone,queens,127.875,212.5000,17068.875,8,0.20
"emerson hill","staten island",64,264.0000,16911,4,1.25
"springfield gardens",queens,94.28985507246377,166.5797,16855.840579710144,69,1.69
"fresh meadows",queens,99,217.6000,16847.88,25,0.61
ridgewood,queens,79.6015625,205.8711,16826.33203125,256,6.26
"mott haven",bronx,91.11538461538461,195.4615,16692.44230769231,52,6.06
morrisania,bronx,71,222.5833,16577.833333333332,12,1.40
stapleton,"staten island",103.20833333333333,137.6250,16335.125,24,7.52
