neighborhood,borough,roi_percentage,avg_roi_borough
"brighton beach",brooklyn,27.73,11.899142857142856
"bay ridge",brooklyn,26.74,11.899142857142856
"brooklyn heights",brooklyn,24.24,11.899142857142856
flatlands,brooklyn,23.9,11.899142857142856
"prospect heights",brooklyn,22.67,11.899142857142856
"windsor terrace",brooklyn,20.49,11.899142857142856
"morningside heights",manhattan,19.03,8.887692307692308
kensington,brooklyn,18.15,11.899142857142856
inwood,manhattan,17.8,8.887692307692308
"coney island",brooklyn,17.6,11.899142857142856
"park slope",brooklyn,17.5,11.899142857142856
"cobble hill",brooklyn,17.3,11.899142857142856
"boerum hill",brooklyn,16.13,11.899142857142856
"east new york",brooklyn,13.9,11.899142857142856
"clinton hill",brooklyn,13.83,11.899142857142856
"cypress hills",brooklyn,13.16,11.899142857142856
midwood,brooklyn,13.02,11.899142857142856
"sheepshead bay",brooklyn,12.68,11.899142857142856
greenpoint,brooklyn,11.18,11.899142857142856
gramercy,manhattan,10.79,8.887692307692308
"fort greene",brooklyn,10.69,11.899142857142856
gravesend,brooklyn,10.53,11.899142857142856
"kips bay",manhattan,10.35,8.887692307692308
"carroll gardens",brooklyn,10.25,11.899142857142856
soho,manhattan,10.23,8.887692307692308
tribeca,manhattan,10.12,8.887692307692308
"sunset park",brooklyn,9.78,11.899142857142856
bushwick,brooklyn,9.49,11.899142857142856
"east village",manhattan,9.31,8.887692307692308
"crown heights",brooklyn,9.03,11.899142857142856
bensonhurst,brooklyn,7.49,11.899142857142856
"dyker heights",brooklyn,7,11.899142857142856
chelsea,manhattan,6.47,8.887692307692308
"bergen beach",brooklyn,6.39,11.899142857142856
"lower east side",manhattan,5.99,8.887692307692308
"murray hill",manhattan,5.67,8.887692307692308
"civic center",manhattan,5.5,8.887692307692308
"red hook",brooklyn,4.99,11.899142857142856
chinatown,manhattan,4.87,8.887692307692308
"bath beach",brooklyn,4.63,11.899142857142856
brownsville,brooklyn,4.43,11.899142857142856
"borough park",brooklyn,4.15,11.899142857142856
"mill basin",brooklyn,2.58,11.899142857142856
canarsie,brooklyn,2.42,11.899142857142856
"navy yard",brooklyn,2.4,11.899142857142856
"manhattan beach",brooklyn,1.81,11.899142857142856
"little italy",manhattan,-0.59,8.887692307692308
gowanus,brooklyn,-1.81,11.899142857142856
