Borough,Neighborhood,Building Class Category,Tax Class At Present,Block,Lot,Ease-Ment,Building Class At Present,Address,Apartment Number,Zip Code,Residential Units,Commercial Units,Total Units,Land Square Feet,Gross Square Feet,Year Built,Tax Class At Time Of Sale,Building Class At Time Of Sale,Sale Price,Sale Date
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6367.0,42.0,,S1,1730 86TH STREET,,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1.0,S1,1630000.0,2019-02-08 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6367.0,43.0,,S1,1732 86TH STREET,,11214.0,1.0,1.0,2.0,1342.0,1920.0,1926.0,1.0,S1,1630000.0,2019-02-08 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6377.0,32.0,,A9,23 BAY 26TH STREET,,11214.0,1.0,0.0,1.0,3867.0,2288.0,1899.0,1.0,A9,1200000.0,2019-09-20 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6397.0,63.0,,A2,132 BAY 13 STREET,,11214.0,1.0,0.0,1.0,2708.0,730.0,1910.0,1.0,A2,1150000.0,2019-03-28 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6401.0,10.0,,S1,1725 BATH AVENUE,,11214.0,1.0,1.0,2.0,1160.0,2320.0,1920.0,1.0,S1,980000.0,2019-02-21 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6425.0,15.0,,B1,231 BAY 7TH STREET,,11228.0,2.0,0.0,2.0,2191.0,1708.0,1935.0,1.0,A5,990000.0,2019-10-10 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6427.0,21.0,,A1,8805 15TH AVENUE,,11228.0,1.0,0.0,1.0,4559.0,1440.0,1920.0,1.0,A1,999000.0,2019-05-28 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6460.0,66.0,,A9,300 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1933.0,1152.0,1920.0,1.0,A9,850000.0,2019-10-29 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6460.0,67.0,,A9,302 BAY 10TH STREET,,11228.0,1.0,0.0,1.0,1933.0,1152.0,1920.0,1.0,A9,768000.0,2019-06-17 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6460.0,212.0,,A5,8866 16TH AVENUE,,11214.0,1.0,0.0,1.0,1696.0,992.0,1950.0,1.0,A5,765000.0,2019-09-05 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6461.0,76.0,,A5,317 BAY 14TH STREET,,11214.0,1.0,0.0,1.0,1511.0,992.0,1950.0,1.0,A5,770000.0,2019-05-22 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6461.0,94.0,,A5,275 BAY 14TH STREET,,11214.0,1.0,0.0,1.0,1795.0,1152.0,1930.0,1.0,A5,830000.0,2019-07-19 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6461.0,256.0,,A5,298 BAY 13TH STREET,,11214.0,1.0,0.0,1.0,1649.0,928.0,1945.0,1.0,A5,717866.0,2019-11-14 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6461.0,283.0,,A5,279 BAY 13TH STREET,,11214.0,1.0,0.0,1.0,1649.0,928.0,1940.0,1.0,A5,680000.0,2019-02-14 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6461.0,293.0,,A5,8881 16TH AVENUE,,11214.0,1.0,0.0,1.0,2127.0,1188.0,1940.0,1.0,A5,858000.0,2019-12-16 00:00:00
3.0,bath beach,01 ONE FAMILY DWELLINGS,1,6461.0,302.0,,A5,319 BAY 13TH STREET,,11214.0,1.0,0.0,1.0,1619.0,928.0,1940.0,1.0,A5,680000.0,2019-08-29 00:00:00
