,id,borough,neighbourhood,host_id,availability_365
0,2539,brooklyn,kensington,2787,365
1,2595,manhattan,midtown,2845,355
2,3647,manhattan,harlem,4632,365
3,3831,brooklyn,clinton hill,4869,194
4,5022,manhattan,east harlem,7192,0
5,5099,manhattan,murray hill,7322,129
6,5121,brooklyn,bedford-stuyvesant,7356,0
7,5178,manhattan,hell's kitchen,8967,220
8,5203,manhattan,upper west side,7490,0
9,5238,manhattan,chinatown,7549,188
10,5295,manhattan,upper west side,7702,6
11,5441,manhattan,hell's kitchen,7989,39
12,5803,brooklyn,south slope,9744,314
13,6021,manhattan,upper west side,11528,333
14,6090,manhattan,west village,11975,0
15,6848,brooklyn,williamsburg,15991,46
16,7097,brooklyn,fort greene,17571,321
17,7322,manhattan,chelsea,18946,12
18,7726,brooklyn,crown heights,20950,21
19,7750,manhattan,east harlem,17985,249
20,7801,brooklyn,williamsburg,21207,0
21,8024,brooklyn,park slope,22486,347
22,8025,brooklyn,park slope,22486,364
23,8110,brooklyn,park slope,22486,304
24,8490,brooklyn,bedford-stuyvesant,25183,233
25,8505,brooklyn,windsor terrace,25326,85
26,8700,manhattan,inwood,26394,0
27,9357,manhattan,hell's kitchen,30193,75
28,9518,manhattan,inwood,31374,311
29,9657,manhattan,east village,21904,67
30,9668,manhattan,harlem,32294,355
31,9704,manhattan,harlem,32045,255
32,9782,brooklyn,greenpoint,32169,284
33,9783,manhattan,harlem,32294,359
34,10452,brooklyn,bedford-stuyvesant,35935,269
35,10962,brooklyn,south slope,9744,340
36,11452,brooklyn,bedford-stuyvesant,7355,365
37,11708,brooklyn,bushwick,44145,22
38,11943,brooklyn,flatbush,45445,365
39,12048,manhattan,lower east side,7549,188
40,12192,manhattan,east village,46978,96
41,12299,brooklyn,south slope,47610,345
42,12303,brooklyn,fort greene,47618,311
43,12318,manhattan,upper west side,16800,273
44,12343,manhattan,harlem,47727,309
45,12627,brooklyn,prospect-lefferts gardens,49670,95
46,12937,queens,long island city,50124,215
47,12940,brooklyn,bedford-stuyvesant,50148,265
48,13050,brooklyn,bedford-stuyvesant,50846,0
49,13394,brooklyn,fort greene,52335,192
50,13808,brooklyn,bedford-stuyvesant,54275,251
51,14287,manhattan,upper west side,56094,302
52,14290,brooklyn,williamsburg,56104,140
53,14314,brooklyn,greenpoint,56246,234
54,14322,manhattan,kips bay,56284,257
55,14377,brooklyn,williamsburg,56512,30
56,14991,manhattan,lower east side,59023,301
57,15220,manhattan,hell's kitchen,59734,294
58,15338,brooklyn,greenpoint,32169,320
59,15341,manhattan,soho,60049,154
