,id,neighbourhood_group,host_name,host_id,minimum_price,z_value_prices,z_interpretation
0,2539,Brooklyn,John,2787,149,-0.09618689334531678,Average price
1,2595,Manhattan,Jennifer,2845,225,-0.08974863990974091,Average price
2,3647,Manhattan,Elisabeth,4632,450,-0.07068802118599656,Average price
3,3831,Brooklyn,LisaRoxanne,4869,89,-0.10126972500498195,Lower price average
4,5022,Manhattan,Laura,7192,800,-0.041038169837949785,Average price
5,5099,Manhattan,Chris,7322,600,-0.057980942036833655,Average price
6,5121,Brooklyn,Garon,7356,2700,0.11991816605144699,Higher price average
7,5178,Manhattan,Shunichi,8967,158,-0.09542446859636701,Average price
8,5203,Manhattan,MaryEllen,7490,158,-0.09542446859636701,Average price
9,5238,Manhattan,Ben,7549,150,-0.09610217948432237,Average price
10,5295,Manhattan,Lena,7702,675,-0.051627402462252205,Average price
11,5441,Manhattan,Kate,7989,170,-0.09440790226443398,Average price
12,5803,Brooklyn,Laurie,9744,356,-0.07865112411947198,Average price
13,6021,Manhattan,Claudio,11528,170,-0.09440790226443398,Average price
14,6090,Manhattan,Alina,11975,10800,0.8061004401062438,Higher price average
15,6848,Brooklyn,Allen & Irina,15991,280,-0.08508937755504785,Average price
16,7097,Brooklyn,Jane,17571,430,-0.07238229840588495,Average price
17,7322,Manhattan,Doti,18946,140,-0.09694931809426656,Average price
18,7726,Brooklyn,Adam And Charity,20950,297,-0.08364924191814271,Average price
19,7750,Manhattan,Sing,17985,1330,0.0038601764890924756,Average price
20,7801,Brooklyn,Chaya,21207,897,-0.032820925321491105,Average price
21,8024,Brooklyn,Lisel,22486,260,-0.08678365477493624,Average price
22,8025,Brooklyn,Lisel,22486,80,-0.10203214975393173,Lower price average
23,8110,Brooklyn,Lisel,22486,220,-0.09017220921471301,Average price
24,8490,Brooklyn,Nathalie,25183,240,-0.08847793199482462,Average price
25,8505,Brooklyn,Gregory,25326,60,-0.1037264269738201,Lower price average
26,8700,Manhattan,Claude & Sophie,26394,320,-0.08170082311527108,Average price
27,9357,Manhattan,Tommi,30193,1500,0.018261532858143765,Average price
28,9518,Manhattan,Shon,31374,132,-0.09762702898222192,Average price
29,9657,Manhattan,Dana,21904,2520,0.10466967107245151,Higher price average
30,9668,Manhattan,Ssameer Or Trip,32294,150,-0.09610217948432237,Average price
31,9704,Manhattan,Teri,32045,104,-0.09999901709006566,Average price
32,9782,Brooklyn,Andrea,32169,220,-0.09017220921471301,Average price
33,9783,Manhattan,Ssameer Or Trip,32294,150,-0.09610217948432237,Average price
34,10452,Brooklyn,Angela,35935,70,-0.10287928836387591,Lower price average
35,10962,Brooklyn,Laurie,9744,356,-0.07865112411947198,Average price
36,11452,Brooklyn,Vt,7355,2100,0.06908984945479538,Average price
37,11708,Brooklyn,Tyrome,44145,170,-0.09440790226443398,Average price
38,11943,Brooklyn,Harriet,45445,150,-0.09610217948432237,Average price
39,12048,Manhattan,Ben,7549,40,-0.1054207041937085,Lower price average
40,12192,Manhattan,Edward,46978,136,-0.09728817353824423,Average price
41,12299,Brooklyn,Abdul,47610,360,-0.0783122686754943,Average price
42,12303,Brooklyn,Yolande,47618,840,-0.037649615398173006,Average price
43,12318,Manhattan,Cyn,16800,540,-0.06306377369649882,Average price
44,12343,Manhattan,Earl,47727,1050,-0.019859704589344943,Average price
45,12627,Brooklyn,Rana,49670,4350,0.2596960366922389,Higher price average
46,12937,Queens,Orestes,50124,390,-0.07577085284566172,Average price
47,12940,Brooklyn,Adreinne,50148,770,-0.04357958566778236,Average price
48,13050,Brooklyn,Jennifer,50846,345,-0.0795829765904106,Average price
49,13394,Brooklyn,Alexander,52335,240,-0.08847793199482462,Average price
50,13808,Brooklyn,JT And Tiziana,54275,80,-0.10203214975393173,Lower price average
51,14287,Manhattan,Joya,56094,302,-0.08322567261317063,Average price
52,14290,Brooklyn,James,56104,684,-0.05086497771330243,Average price
53,14314,Brooklyn,Jeanne,56246,288,-0.08441166666709249,Average price
54,14322,Manhattan,Francesca,56284,1400,0.00979014675870183,Average price
55,14377,Brooklyn,Joanna,56512,4500,0.2724031158414018,Higher price average
