,Sale Price,Building Class At Time Of Sale,City,Neighbourhood,z_value_prices
0,3200000.0,S1,manhattan,Alphabet City / East Village,0.0067385739386521745
3,6300000.0,C0,manhattan,Alphabet City / East Village,0.15201349698478808
5,1950000.0,C1,manhattan,Alphabet City / East Village,-0.05184002406382198
6,14000000.0,C7,manhattan,Alphabet City / East Village,0.5128576606800289
8,600000.0,C3,manhattan,Alphabet City / East Village,-0.11510490990649407
9,4350000.0,C3,manhattan,Alphabet City / East Village,0.0606308841009284
10,1269168.0,C4,manhattan,Alphabet City / East Village,-0.08374577129199837
11,625000.0,C4,manhattan,Alphabet City / East Village,-0.11393333794644459
12,1175000.0,C2,manhattan,Alphabet City / East Village,-0.08815875482535596
13,872500.0,C2,manhattan,Alphabet City / East Village,-0.1023347755419547
14,1550000.0,C7,manhattan,Alphabet City / East Village,-0.0705851754246137
16,388389.0,C7,manhattan,Alphabet City / East Village,-0.12502161046801533
17,220000.0,C1,manhattan,Alphabet City / East Village,-0.1329128036992462
18,84413.0,C7,manhattan,Alphabet City / East Village,-0.1392668007931354
19,19475.0,C7,manhattan,Alphabet City / East Village,-0.1423099823908031
20,19475.0,C7,manhattan,Alphabet City / East Village,-0.1423099823908031
22,2583642.0,C1,manhattan,Alphabet City / East Village,-0.022145736067434998
23,9600000.0,C7,manhattan,Alphabet City / East Village,0.30666099571131983
24,5250000.0,C4,manhattan,Alphabet City / East Village,0.10280747466270979
27,11500000.0,C1,manhattan,Alphabet City / East Village,0.3957004646750806
28,2500.0,C4,manhattan,Alphabet City / East Village,-0.14310547975167673
29,102083.0,C4,manhattan,Alphabet City / East Village,-0.1384387337317724
30,2500.0,C4,manhattan,Alphabet City / East Village,-0.14310547975167673
31,1030000.0,C4,manhattan,Alphabet City / East Village,-0.09495387219364296
32,2.0,C4,manhattan,Alphabet City / East Village,-0.14322254322192485
33,2583642.0,D9,manhattan,Alphabet City / East Village,-0.022145736067434998
36,975000.0,D1,manhattan,Alphabet City / East Village,-0.09753133050575183
38,550000.0,C6,manhattan,Alphabet City / East Village,-0.11744805382659304
39,690000.0,C6,manhattan,Alphabet City / East Village,-0.11088725085031594
40,465000.0,C6,manhattan,Alphabet City / East Village,-0.12143139849076127
41,420000.0,C6,manhattan,Alphabet City / East Village,-0.12354022801885035
42,25423.0,C6,manhattan,Alphabet City / East Village,-0.14203124199006814
43,970000.0,C6,manhattan,Alphabet City / East Village,-0.09776564489776172
44,560000.0,C6,manhattan,Alphabet City / East Village,-0.11697942504257325
45,1575000.0,C6,manhattan,Alphabet City / East Village,-0.06941360346456422
46,915600.0,C6,manhattan,Alphabet City / East Village,-0.1003149854828294
47,690000.0,C6,manhattan,Alphabet City / East Village,-0.11088725085031594
48,399000.0,C6,manhattan,Alphabet City / East Village,-0.12452434846529191
49,305000.0,C6,manhattan,Alphabet City / East Village,-0.12892945903507796
50,295000.0,C6,manhattan,Alphabet City / East Village,-0.12939808781909776
51,114736.0,C6,manhattan,Alphabet City / East Village,-0.13784577773135218
52,599000.0,C6,manhattan,Alphabet City / East Village,-0.11515177278489605
53,2075000.0,C6,manhattan,Alphabet City / East Village,-0.045982164263574564
54,125000.0,C6,manhattan,Alphabet City / East Village,-0.13736477714743425
55,396000.0,C6,manhattan,Alphabet City / East Village,-0.12466493710049785
56,461000.0,C6,manhattan,Alphabet City / East Village,-0.1216188500043692
57,730000.0,C6,manhattan,Alphabet City / East Village,-0.10901273571423675
58,675000.0,C6,manhattan,Alphabet City / East Village,-0.11159019402634562
59,350000.0,C6,manhattan,Alphabet City / East Village,-0.1268206295069889
60,505000.0,C6,manhattan,Alphabet City / East Village,-0.1195568833546821
61,355000.0,C6,manhattan,Alphabet City / East Village,-0.126586315114979
62,701000.0,C6,manhattan,Alphabet City / East Village,-0.11037175918789416
63,960000.0,C6,manhattan,Alphabet City / East Village,-0.09823427368178152
64,362000.0,C6,manhattan,Alphabet City / East Village,-0.12625827496616515
65,370000.0,C6,manhattan,Alphabet City / East Village,-0.1258833719389493
66,810000.0,C6,manhattan,Alphabet City / East Village,-0.10526370544207841
67,250000.0,C6,manhattan,Alphabet City / East Village,-0.13150691734718684
68,545000.0,C6,manhattan,Alphabet City / East Village,-0.11768236821860294
69,421000.0,C6,manhattan,Alphabet City / East Village,-0.12349336514044837
70,485000.0,C6,manhattan,Alphabet City / East Village,-0.12049414092272169
71,424000.0,C6,manhattan,Alphabet City / East Village,-0.12335277650524243
72,450000.0,C6,manhattan,Alphabet City / East Village,-0.12213434166679096
73,575000.0,C6,manhattan,Alphabet City / East Village,-0.11627648186654355
75,525000.0,C6,manhattan,Alphabet City / East Village,-0.11861962578664252
76,695000.0,C6,manhattan,Alphabet City / East Village,-0.11065293645830604
77,1150000.0,C6,manhattan,Alphabet City / East Village,-0.08933032678540544
79,1100000.0,C6,manhattan,Alphabet City / East Village,-0.09167347070550441
80,1085000.0,C6,manhattan,Alphabet City / East Village,-0.0923764138815341
81,359000.0,C6,manhattan,Alphabet City / East Village,-0.1263988636013711
82,350000.0,C6,manhattan,Alphabet City / East Village,-0.1268206295069889
84,650000.0,C6,manhattan,Alphabet City / East Village,-0.1127617659863951
85,455000.0,C6,manhattan,Alphabet City / East Village,-0.12190002727478107
86,31241.0,D4,manhattan,Alphabet City / East Village,-0.14175859376352543
87,30112.0,D4,manhattan,Alphabet City / East Village,-0.14181150195324127
88,1199000.0,D4,manhattan,Alphabet City / East Village,-0.08703404574370846
89,850000.0,D0,manhattan,Alphabet City / East Village,-0.10338919030599923
90,960000.0,D0,manhattan,Alphabet City / East Village,-0.09823427368178152
91,585000.0,D4,manhattan,Alphabet City / East Village,-0.11580785308252375
92,1050000.0,D4,manhattan,Alphabet City / East Village,-0.09401661462560337
93,5100000.0,RR,manhattan,Alphabet City / East Village,0.09577804290241289
96,810000.0,R4,manhattan,Alphabet City / East Village,-0.10526370544207841
97,847000.0,R4,manhattan,Alphabet City / East Village,-0.10352977894120517
98,1095000.0,R4,manhattan,Alphabet City / East Village,-0.09190778509751431
99,710000.0,R4,manhattan,Alphabet City / East Village,-0.10994999328227634
107,1062500.0,R4,manhattan,Lower East Side / Chinatown,-0.09343082864557863
108,950000.0,R4,manhattan,Lower East Side / Chinatown,-0.09870290246580131
110,999999.0,R4,manhattan,Alphabet City / East Village,-0.09635980540858075
111,935000.0,R4,manhattan,Alphabet City / East Village,-0.099405845641831
112,1355000.0,R4,manhattan,Alphabet City / East Village,-0.07972343671299968
113,1305000.0,R4,manhattan,Lower East Side / Chinatown,-0.08206658063309864
114,1440000.0,R4,manhattan,Alphabet City / East Village,-0.07574009204883143
116,1549000.0,R4,manhattan,Alphabet City / East Village,-0.07063203830301569
117,1337000.0,S4,manhattan,Alphabet City / East Village,-0.08056696852423531
119,2.0,S9,manhattan,Alphabet City / East Village,-0.14322254322192485
123,2155000.0,R1,manhattan,Alphabet City / East Village,-0.04223313399141622
124,3000000.0,R1,manhattan,Alphabet City / East Village,-0.0026340017417436907
125,1268975.0,R1,manhattan,Alphabet City / East Village,-0.08375481582752996
126,1438003.0,R1,manhattan,Alphabet City / East Village,-0.07583367721700018
127,3000000.0,R1,manhattan,Alphabet City / East Village,-0.0026340017417436907
128,1500000.0,R1,manhattan,Alphabet City / East Village,-0.07292831934471268
129,300000.0,R8,manhattan,Alphabet City / East Village,-0.12916377342708787
131,580000.0,R9,manhattan,Alphabet City / East Village,-0.11604216747453365
132,260000.0,R9,manhattan,Alphabet City / East Village,-0.13103828856316704
133,499900.0,R9,manhattan,Alphabet City / East Village,-0.1197958840345322
134,1.0,V1,manhattan,Alphabet City / East Village,-0.14322259008480326
135,1355000.0,RS,manhattan,Alphabet City / East Village,-0.07972343671299968
137,6725000.0,A4,manhattan,Chelsea / West Village,0.1719302203056293
138,2421900.0,A9,manhattan,Chelsea / West Village,-0.029725431745927938
139,12709140.0,A4,manhattan,Chelsea / West Village,0.45236424546604986
140,9675000.0,S2,manhattan,Chelsea / Hudson Yards,0.3101757115914683
142,4800000.0,B9,manhattan,Chelsea / West Village,0.0817191793818191
143,19900000.0,S2,manhattan,Chelsea / West Village,0.7893486432517068
146,4100000.0,B9,manhattan,Chelsea / Hudson Yards,0.04891516450043357
147,4800000.0,C0,manhattan,Chelsea / Hudson Yards,0.0817191793818191
149,6800000.0,C2,manhattan,Chelsea / West Village,0.17544493618577775
150,7850000.0,C2,manhattan,Chelsea / West Village,0.22465095850785602
157,8250000.0,C4,manhattan,Chelsea / West Village,0.24339610986864776
164,73616.0,C4,manhattan,Chelsea / West Village,-0.13977277929124154
166,3200000.0,C5,manhattan,Chelsea / West Village,0.0067385739386521745
167,8300000.0,C3,manhattan,Chelsea / West Village,0.24573925378874673
168,1706399.0,C7,manhattan,Chelsea / West Village,-0.06325586810542255
171,5750000.0,D8,manhattan,Chelsea / West Village,0.12623891386369945
173,2725000.0,C6,manhattan,Chelsea / West Village,-0.015521293302288006
174,1255000.0,C6,manhattan,Chelsea / West Village,-0.08440972455319762
175,750000.0,C6,manhattan,Chelsea / West Village,-0.10807547814619717
176,2998500.0,C6,manhattan,Chelsea / West Village,-0.0027042960593466597
177,2950000.0,C6,manhattan,Chelsea / West Village,-0.004977145661842657
178,2825000.0,C6,manhattan,Chelsea / West Village,-0.010835005462090073
179,475000.0,C6,manhattan,Chelsea / West Village,-0.12096276970674148
180,495000.0,C6,manhattan,Chelsea / West Village,-0.1200255121387019
181,386000.0,C6,manhattan,Chelsea / West Village,-0.12513356588451766
182,800000.0,C6,manhattan,Chelsea / West Village,-0.1057323342260982
183,2750000.0,C6,manhattan,Chelsea / West Village,-0.014349721342238522
184,2650000.0,C6,manhattan,Chelsea / West Village,-0.019036009182436454
185,2650000.0,C6,manhattan,Chelsea / West Village,-0.019036009182436454
186,1800000.0,C6,manhattan,Chelsea / West Village,-0.05886945582411888
187,620000.0,C6,manhattan,Chelsea / West Village,-0.11416765233845448
188,550000.0,C6,manhattan,Chelsea / West Village,-0.11744805382659304
189,1600000.0,C6,manhattan,Chelsea / West Village,-0.06824203150451474
190,300000.0,C6,manhattan,Chelsea / Hudson Yards,-0.12916377342708787
191,265000.0,C6,manhattan,Chelsea / Hudson Yards,-0.13080397417115713
193,635000.0,C6,manhattan,Chelsea / West Village,-0.11346470916242479
194,649000.0,C6,manhattan,Chelsea / West Village,-0.11280862886479709
195,830000.0,C6,manhattan,Chelsea / West Village,-0.10432644787403883
196,610000.0,C6,manhattan,Chelsea / West Village,-0.11463628112247427
197,377000.0,C6,manhattan,Chelsea / West Village,-0.12555533179013545
198,630000.0,C6,manhattan,Chelsea / West Village,-0.11369902355443469
199,400000.0,C6,manhattan,Chelsea / West Village,-0.12447748558688994
200,323000.0,C6,manhattan,Chelsea / West Village,-0.12808592722384235
202,856000.0,C6,manhattan,Chelsea / West Village,-0.10310801303558736
203,930000.0,C6,manhattan,Chelsea / West Village,-0.0996401600338409
204,1495000.0,C6,manhattan,Chelsea / West Village,-0.07316263373672258
205,825000.0,C6,manhattan,Chelsea / West Village,-0.10456076226604873
206,707000.0,C6,manhattan,Chelsea / West Village,-0.11009058191748228
208,630000.0,C6,manhattan,Chelsea / West Village,-0.11369902355443469
209,875000.0,C6,manhattan,Chelsea / West Village,-0.10221761834594975
210,1475000.0,C6,manhattan,Chelsea / West Village,-0.07409989130476216
211,585000.0,C6,manhattan,Chelsea / West Village,-0.11580785308252375
212,510000.0,C6,manhattan,Chelsea / West Village,-0.11932256896267221
213,763688.0,C6,manhattan,Chelsea / West Village,-0.10743401906663087
214,690000.0,C6,manhattan,Chelsea / West Village,-0.11088725085031594
215,773970.0,C6,manhattan,Chelsea / West Village,-0.10695217495090173
216,738231.0,C6,manhattan,Chelsea / West Village,-0.10862700736211006
217,999922.0,C6,manhattan,Chelsea / West Village,-0.0963634138502177
218,773870.0,C6,manhattan,Chelsea / West Village,-0.10695686123874193
219,440076.0,C6,manhattan,Chelsea / West Village,-0.12259940887205222
220,717000.0,C6,manhattan,Chelsea / West Village,-0.10962195313346249
221,640000.0,C6,manhattan,Chelsea / West Village,-0.1132303947704149
222,710000.0,C6,manhattan,Chelsea / West Village,-0.10994999328227634
223,965000.0,C6,manhattan,Chelsea / West Village,-0.09799995928977162
224,10800.0,C6,manhattan,Chelsea / West Village,-0.14271651786094028
226,875000.0,C6,manhattan,Chelsea / West Village,-0.10221761834594975
227,740000.0,C6,manhattan,Chelsea / West Village,-0.10854410693021696
228,925000.0,C6,manhattan,Chelsea / Hudson Yards,-0.09987447442585079
230,560000.0,C6,manhattan,Chelsea / West Village,-0.11697942504257325
231,603000.0,C6,manhattan,Chelsea / West Village,-0.11496432127128813
232,579000.0,C6,manhattan,Chelsea / West Village,-0.11608903035293563
233,550000.0,C6,manhattan,Chelsea / West Village,-0.11744805382659304
234,691000.0,C6,manhattan,Chelsea / West Village,-0.11084038797191395
235,745000.0,C6,manhattan,Chelsea / West Village,-0.10830979253820706
236,650000.0,C6,manhattan,Chelsea / West Village,-0.1127617659863951
237,920000.0,C6,manhattan,Chelsea / West Village,-0.10010878881786069
238,530000.0,C6,manhattan,Chelsea / West Village,-0.11838531139463263
239,585000.0,C6,manhattan,Chelsea / West Village,-0.11580785308252375
240,817500.0,C6,manhattan,Chelsea / West Village,-0.10491223385406356
241,515000.0,C6,manhattan,Chelsea / West Village,-0.11908825457066231
242,925275.0,C6,manhattan,Chelsea / West Village,-0.09986158713429025
243,618000.0,C6,manhattan,Chelsea / West Village,-0.11426137809525844
244,606000.0,C6,manhattan,Chelsea / West Village,-0.1148237326360822
245,700000.0,C6,manhattan,Chelsea / West Village,-0.11041862206629614
246,780000.0,D4,manhattan,Chelsea / West Village,-0.10666959179413779
247,1525000.0,D4,manhattan,Chelsea / West Village,-0.0717567473846632
248,840000.0,D4,manhattan,Chelsea / West Village,-0.10385781909001904
